Target (x, y, z) -> Joint Angles (theta1, theta2, theta3, theta4, theta5)
[0.56, -1.49, 1.84] -> [-69.40, -21.64, 81.07, -81.07, 0.00]
[0.19, 1.1, -0.42] -> [80.20, -101.05, 81.55, -81.55, 0.00]
[-1.25, -0.7, 0.52] -> [-150.75, -78.16, 60.72, -60.72, 0.00]
[1.02, -1.04, -0.99] -> [-45.56, -64.35, 158.90, -158.90, 0.00]
[-0.88, 1.18, -0.02] -> [126.71, -84.52, 80.40, -80.40, 0.00]
[-0.5, 0.34, 1.77] -> [145.78, -24.28, 27.72, -27.72, 0.00]
[0.65, 1.74, -0.66] -> [69.52, -47.19, 169.20, -169.20, 0.00]
[1.03, 1.19, 0.14] -> [49.12, -78.36, 80.59, -80.59, 0.00]
[-0.7, -1.69, 1.13] -> [-112.50, -44.10, 83.66, -83.66, 0.00]
[0.71, -0.84, 0.51] -> [-49.79, -93.40, 41.22, -41.22, 0.00]
[-1.4, -1.91, 1.48] -> [-126.24, -5.18, 146.73, -146.73, 0.00]
[-0.07, 0.51, 0.82] -> [97.82, -107.97, 2.60, -2.60, 0.00]
[-1.19, -0.06, -0.92] -> [-177.11, -86.55, 123.24, -123.24, 0.00]
[1.73, 0.04, 1.89] -> [1.32, -16.48, 92.60, -92.60, 0.00]
[-0.57, 1.09, -0.63] -> [117.61, -92.52, 100.89, -100.89, 0.00]
[1.86, 0.62, 0.03] -> [18.43, -58.79, 115.07, -115.07, 0.00]
[-0.12, -0.25, 1.65] -> [-115.64, -17.17, 11.86, -11.86, 0.00]
[0.38, 1.32, -0.23] -> [73.94, -89.63, 84.43, -84.43, 0.00]
[-0.55, 1.49, 1.38] -> [110.26, -42.03, 69.02, -69.02, 0.00]
[-0.47, 0.22, 0.08] -> [154.92, -134.43, 32.30, -32.30, 0.00]
[0.55, 1.77, -0.31] -> [72.74, -63.02, 124.47, -124.47, 0.00]
[-1.88, -0.07, 0.27] -> [-177.87, -61.83, 98.75, -98.75, 0.00]
[-0.34, 0.08, -0.12] -> [166.76, -143.01, 39.34, -39.34, 0.00]
[-0.32, -0.75, 0.36] -> [-113.11, -112.57, 31.13, -31.13, 0.00]
[1.36, -1.14, 0.24] -> [-39.97, -67.52, 91.33, -91.33, 0.00]
[0.2, 1.97, -0.44] -> [84.20, -49.07, 153.91, -153.91, 0.00]
[0.46, 1.04, 0.72] -> [66.14, -84.22, 39.22, -39.22, 0.00]
[-0.47, 0.36, -0.29] -> [142.55, -127.98, 54.73, -54.73, 0.00]
[0.96, -1.55, 1.98] -> [-58.23, -10.03, 103.43, -103.43, 0.00]
[-1.5, -0.29, -0.45] -> [-169.06, -80.07, 106.87, -106.87, 0.00]
[-1.09, -1.15, -0.74] -> [-133.47, -69.76, 135.84, -135.84, 0.00]
[-0.25, 1.04, -0.82] -> [103.52, -95.90, 107.32, -107.32, 0.00]
[-1.0, 0.14, -0.97] -> [172.03, -93.90, 117.93, -117.93, 0.00]
[1.0, -1.66, -0.04] -> [-58.93, -60.04, 116.35, -116.35, 0.00]
[-0.58, 0.28, 0.84] -> [154.23, -99.26, 9.39, -9.39, 0.00]
[-0.38, 1.45, -0.46] -> [104.69, -81.47, 105.55, -105.55, 0.00]
[1.97, -1.1, 1.72] -> [-29.18, -3.20, 138.20, -138.20, 0.00]
[1.24, -0.04, -0.09] -> [-1.85, -96.15, 70.30, -70.30, 0.00]
[-0.75, -0.33, -1.28] -> [-156.25, -86.21, 148.05, -148.05, 0.00]
[-1.39, 0.9, -0.28] -> [147.08, -74.91, 105.59, -105.59, 0.00]
[-0.21, 0.74, -0.77] -> [105.84, -110.87, 91.28, -91.28, 0.00]
[0.14, -0.88, 0.47] -> [-80.96, -105.18, 31.14, -31.14, 0.00]
[-0.12, -0.39, -1.46] -> [-107.10, -85.16, 170.84, -170.84, 0.00]
[-0.59, -1.07, 1.29] -> [-118.87, -54.44, 44.41, -44.41, 0.00]
[-0.72, -0.11, 0.48] -> [-171.31, -114.14, 22.78, -22.78, 0.00]
[-1.88, 0.68, 0.82] -> [160.11, -46.24, 97.81, -97.81, 0.00]
[-0.79, 0.78, 1.15] -> [135.36, -64.24, 36.13, -36.13, 0.00]
[0.72, 1.84, 1.02] -> [68.63, -41.86, 95.12, -95.12, 0.00]
[1.88, -1.59, 1.02] -> [-40.22, -10.68, 157.71, -157.71, 0.00]
[-0.3, -1.3, -0.07] -> [-102.99, -91.49, 74.47, -74.47, 0.00]
[-0.6, 0.31, -0.9] -> [152.68, -111.12, 98.62, -98.62, 0.00]
[-0.31, -1.93, 0.0] -> [-99.13, -59.12, 115.95, -115.95, 0.00]
[-0.54, 1.16, -0.08] -> [114.96, -94.21, 71.92, -71.92, 0.00]
[-0.2, 0.15, 1.77] -> [143.13, -9.08, 17.81, -17.81, 0.00]
